method,method_display_name,method_group,n_runs,folds_available,seeds_available,mean_dice,std_dice,median_dice,min_dice,max_dice,mean_iou,std_iou,mean_loss,std_loss,paired_n,mean_delta_vs_imagenet,std_delta_vs_imagenet,positive_pair_count,negative_pair_count,zero_pair_count
imagenet,ImageNet,baseline,3,0,"0,1,2",0.8799181550097868,0.0034899076308373494,0.8803132730336616,0.8762475042077892,0.8831936877879096,0.7875141640674669,0.005538140558011855,0.2607012291749318,0.009524862469348437,0,nan,nan,0,0,0
full_human_mae,Full Human MAE,full_adaptation,3,0,"0,1,2",0.8657923409989013,0.0027042526555138974,0.864500275124546,0.8639764830455035,0.8689002648266545,0.7655511959655505,0.004325783484453903,0.28212725143906076,0.004071734172787778,3,-0.014125814010885493,0.003978852176878,0,3,0
human_mae_last2,Human MAE Last2,constrained_depth,3,0,"0,1,2",0.8820281577469251,0.0013428450910669685,0.8825408724387065,0.8805044899922448,0.8830391108098239,0.7908720953588104,0.002183153795659625,0.2543565328662277,0.010273724672252207,3,0.002110002737138276,0.0022081311632662433,2,1,0
human_mae_last4,Human MAE Last4,constrained_depth,1,0,0,0.8809563823461746,0.0,0.8809563823461746,0.8809563823461746,0.8809563823461746,0.7891180417753703,0.0,0.26772299345503464,0.0,1,0.0006431093125129905,0.0,1,0,0
human_mae_last6,Human MAE Last6,constrained_depth,1,0,0,0.8866607188537896,0.0,0.8866607188537896,0.8866607188537896,0.8866607188537896,0.7980290184132166,0.0,0.2605544182848423,0.0,1,0.006347445820128028,0.0,1,0,0
human_mae_alpha_0p1,Human MAE alpha=0.1,task_vector,3,0,"0,1,2",0.8806256944885058,0.003141735868664069,0.8814111672154341,0.8771657478755007,0.8833001683745827,0.7886330041825067,0.004950443637788187,0.2554975278834079,0.005406281007236211,3,0.0007075394787190437,0.0005282257288141602,3,0,0
human_mae_pretrained_anchor_allblocks,Human MAE + Pretrained Feature Anchor,feature_preservation,1,0,0,0.8807802731615415,0.0,0.8807802731615415,0.8807802731615415,0.8807802731615415,0.7889465967746889,0.0,0.2614549810582019,0.0,1,0.00046700012787992407,0.0,1,0,0
human_mae_cat_aware_preservation,Human MAE + Cat-aware Preservation,cat_aware_preservation,1,0,0,0.8824077431414387,0.0,0.8824077431414387,0.8824077431414387,0.8824077431414387,0.7913740592178287,0.0,0.25933177420433534,0.0,1,0.00209447010777708,0.0,1,0,0
